hidden_dim,model,model_label,mean_mse,median_mse,p90_mse,n,mean_val,mean_phys,mean_inf,mean_params,mean_train_s,order
4,MLP,MLP,0.03210929179824485,0.0305343876924302,0.0557601647293668,11,0.03595726478042541,0.03176942018743444,0.2534298727097683,33.0,181.28831830910943,0
4,FULL_GNN,Full-GNN,0.021084072514986545,0.0025474804476242,0.0532674363861649,11,0.019007927214731955,0.02082747463955369,2.876942335954399,33.0,1098.8731563727356,1
4,TINY_GNN,Tiny-GNN,0.028582745195381773,0.0252933166763287,0.0771534652212413,11,0.027257886943301682,0.028312853333781463,1.931809809251387,13.0,700.7932868454577,2
4,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.02856287988588907,0.0253330394191572,0.0771536025676434,11,0.027214655229815806,0.02829029594198015,1.929725363440494,13.0,865.9081471363693,3
8,MLP,MLP,0.007158782517862306,0.0010383537636529,0.0302379797844184,11,0.00974596648107538,0.007038942150937794,0.23043229972939694,97.0,208.16651270911098,0
8,FULL_GNN,Full-GNN,0.004135485360265527,0.0005756628165496,0.0040804034205532,11,0.004131166061603026,0.004065819255414863,2.9340674549159966,97.0,1016.0532636727356,1
8,TINY_GNN,Tiny-GNN,0.015032143842652902,0.0003272221149665,0.0487759117179124,11,0.020768278190158914,0.014862283423861445,1.9665356360905704,25.0,732.681992327287,2
8,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.015031557389244847,0.0003284209701864,0.048738849183576,11,0.020761931186442352,0.01486030846672497,1.8988852455940188,25.0,885.1533214000033,3
16,MLP,MLP,0.0013345286296681227,0.0001946398245971,0.00662269549231212,77,0.001455516489342335,0.0012922115992344597,0.24830590545209597,321.0,141.03087970260188,0
16,FULL_GNN,Full-GNN,0.0005151702480014676,0.00039267310995,0.0008593903886059205,77,0.0005959881217154935,0.0005120195198665261,2.9464610259981665,321.0,652.5897949220816,1
16,TINY_GNN,Tiny-GNN,0.002736199396139021,0.0008434234004491,0.009536668611295743,77,0.0028299661625906204,0.0026917278303660985,2.010095881831807,49.0,556.9427720013008,2
16,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.002516086740218299,0.0007622885349812,0.008073111938833519,77,0.002565290289461147,0.0024664037843724986,1.927942548228775,49.0,666.1804197571521,3
32,MLP,MLP,1.406719771000886e-05,1.4167208609775364e-05,1.9187951454376285e-05,11,1.6097854170287973e-05,1.7763797596827346e-05,0.24324685475667965,1153.0,201.5102384181813,0
32,FULL_GNN,Full-GNN,0.0002908773761412546,0.0002320203023727,0.0005102384093333,11,0.00032059430073916366,0.00029121738748362963,2.7680127631991294,1153.0,769.4232447909151,1
32,TINY_GNN,Tiny-GNN,0.00020306614365257536,0.0001615421617192,0.0003845789950115,11,0.0002356144223470637,0.0002121181766263241,1.80373326363042,97.0,699.6769692091003,2
32,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.000203037263355318,0.0001615498015518,0.0003845851993685,11,0.00023549017236951822,0.00021155125032000301,1.834482327557866,97.0,844.846273545448,3
