hidden_dim,model,model_label,mean_mse,median_mse,mean_params,mean_inf,mean_train_s,n,order
4,MLP,MLP,0.03210929179824485,0.0305343876924302,33.0,0.2534298727097683,181.28831830910943,11,0
4,FULL_GNN,Full-GNN,0.021084072514986545,0.0025474804476242,33.0,2.876942335954399,1098.8731563727356,11,1
4,TINY_GNN,Tiny-GNN,0.028582745195381773,0.0252933166763287,13.0,1.931809809251387,700.7932868454577,11,2
4,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.02856287988588907,0.0253330394191572,13.0,1.929725363440494,865.9081471363693,11,3
8,MLP,MLP,0.007158782517862306,0.0010383537636529,97.0,0.23043229972939694,208.16651270911098,11,0
8,FULL_GNN,Full-GNN,0.004135485360265527,0.0005756628165496,97.0,2.9340674549159966,1016.0532636727356,11,1
8,TINY_GNN,Tiny-GNN,0.015032143842652902,0.0003272221149665,25.0,1.9665356360905704,732.681992327287,11,2
8,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.015031557389244847,0.0003284209701864,25.0,1.8988852455940188,885.1533214000033,11,3
16,MLP,MLP,0.0013345286296681227,0.0001946398245971,321.0,0.24830590545209597,141.03087970260188,77,0
16,FULL_GNN,Full-GNN,0.0005151702480014676,0.00039267310995,321.0,2.9464610259981665,652.5897949220816,77,1
16,TINY_GNN,Tiny-GNN,0.002736199396139021,0.0008434234004491,49.0,2.010095881831807,556.9427720013008,77,2
16,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.002516086740218299,0.0007622885349812,49.0,1.927942548228775,666.1804197571521,77,3
32,MLP,MLP,1.406719771000886e-05,1.4167208609775364e-05,1153.0,0.24324685475667965,201.5102384181813,11,0
32,FULL_GNN,Full-GNN,0.0002908773761412546,0.0002320203023727,1153.0,2.7680127631991294,769.4232447909151,11,1
32,TINY_GNN,Tiny-GNN,0.00020306614365257536,0.0001615421617192,97.0,1.80373326363042,699.6769692091003,11,2
32,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.000203037263355318,0.0001615498015518,97.0,1.834482327557866,844.846273545448,11,3
