noise_level,model,model_label,mean_mse,median_mse,p90_mse,n,mean_val,mean_phys,mean_inf,mean_params,mean_train_s,order
0.0,MLP,MLP,0.0056801793027468584,0.0001119746479686,0.023242215657117406,77,0.006617002840772203,0.005610688136505734,0.24570388579327715,366.7142857142857,150.99420108052612,0
0.0,FULL_GNN,Full-GNN,0.0038780530192801406,0.0003446423654198,0.0024782655026636606,77,0.003630030910804287,0.003832000191874762,2.9070776997609578,366.7142857142857,715.5227916311779,1
0.0,TINY_GNN,Tiny-GNN,0.007829264371458807,0.0006038513118687,0.02536362223642858,77,0.008525305419223873,0.007745396852863823,1.975999248060326,47.285714285714285,545.9673859272744,2
0.0,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0078215565258674,0.0006038764679372,0.02535290686429424,77,0.008500555740111477,0.007735224394759368,1.9080868352183726,47.285714285714285,654.6006411116947,3
0.05,MLP,MLP,0.0002933086319883271,0.0002465294058048,0.0004124642417359,11,0.0003268971062679364,0.0002658438667505913,0.2569339732574669,321.0,181.24749105456365,0
0.05,FULL_GNN,Full-GNN,0.00038224252951055463,0.0003630794300248,0.0005878896090661,11,0.0004395170131150545,0.00037919007494495455,2.9610043737490988,321.0,862.5790667363657,1
0.05,TINY_GNN,Tiny-GNN,0.002040452044994991,0.0008550278275911,0.0048420495537141,11,0.002039465512428773,0.0019942250580490817,1.9962838266351768,49.0,737.3747403000075,2
0.05,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0019460029637366817,0.0007622885349812,0.0046317671244111,11,0.0019178616492217817,0.0018929269598193363,1.9127042183099547,49.0,894.09290588182,3
0.1,MLP,MLP,0.0011359700868500272,0.0011007309288488,0.0015192457521136,11,0.0012799456819352726,0.0010610899856318453,0.23457532743214993,321.0,167.21724996364043,0
0.1,FULL_GNN,Full-GNN,0.0005172545203593363,0.0005123251808611,0.0006760629706658,11,0.0005894813151768454,0.0005135425538892,2.9934963367214986,321.0,801.4796049636213,1
0.1,TINY_GNN,Tiny-GNN,0.0024098611562845458,0.0011655628262876,0.0058812093605303,11,0.002448345886641809,0.0023593222586322823,1.988523382167407,49.0,738.7622685181908,2
0.1,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0021159315960027087,0.000815425690296,0.005200136058285,11,0.0021036206215141818,0.0020574219869851184,1.9764167279560587,49.0,898.1199587818348,3
0.2,MLP,MLP,0.007433308083427672,0.0070086817821424,0.0083307654486369,11,0.00798208186745878,0.00726985652268771,0.25381386411795986,321.0,172.75707877272782,0
0.2,FULL_GNN,Full-GNN,0.001070758802572727,0.0009096940945818,0.0018746946510164,11,0.001192389725160691,0.0010519139495603817,2.90020512725939,321.0,779.7600161727261,1
0.2,TINY_GNN,Tiny-GNN,0.0037161871531692005,0.0023653516407771,0.0093011081719897,11,0.003906593360304309,0.0036580244601037907,1.9559479365701586,49.0,733.842942081831,2
0.2,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0025972514792061267,0.0010068180921025,0.0068189830980973,11,0.0026437361633394,0.002530062439512591,1.9129619813991832,49.0,884.753327936368,3
